ラテン文字, ヘブライ文字

%%%%%%%%%%%%%%%%%%%%,####################

%%%%%,# ラテン文字/符号

%%%%%,## 子音字

%%%%%,### 正変換

b,<+<<b<<-<
g,<+<<g<<-<
z,<+<<z<<-<
ts,<+<<ts<<-<
t,<+<<t<<-<
d,<+<<d<<-<
v,<+<<v<<-<
l,<+<<l<<-<
r,<+<<r<<-<
h,<+<<h<<-<
sh,<+<<sh<<-<
s,<+<<s<<-<
y,<+<<y<<-<
p,<+<<p<<-<
kh,<+<<kh<<-<
k,<+<<k<<-<
m,<+<<m<<-<
n,<+<<n<<-<
f,<+<<f<<-<

%%%%%,### 逆変換

b,<b<
g,<g<
z,<z<
t,<t<
d,<d<
v,<v<
l,<l<
r,<r<
h,<h<
s,<s<
y,<y<
p,<p<
k,<k<
sh,<sh<
kh,<kh<
m,<m<
n,<n<
f,<f<
ts,<ts<

%%%%%,## ヘブライ語系の単語にのみ見られる子音字

*v,<+<<*v<<-<
*kh,<+<<*kh<<-<
*s,<+<<*s<<-<
*S,<+<<*S<<-<
*t,<+<<*t<<-<

%%%%%,## 母音字

oy,<+<<oy<<-<
ey,<+<<ey<<-<
ay,<+<<ay<<-<

a,<+<<a<<-<
o,<+<<o<<-<
e,<+<<e<<-<
i,<+<<i<<-<
u,<+<<u<<-<

%%%%%%%%%%%%%%%%%%%%,####################

%%%%%,# 符号処理

%%%%%,## i の の下に点を打つ

%%%%%,### 母音の前

:+::i::-::+::a::-:,:+::i.::-::+::a::-:
:+::i::-::+::o::-:,:+::i.::-::+::o::-:
:+::i::-::+::e::-:,:+::i.::-::+::e::-:
:+::i::-::+::i::-:,:+::i.::-::+::i::-:
:+::i::-::+::u::-:,:+::i.::-::+::u::-:
:+::i::-::+::oy::-:,:+::i.::-::+::oy::-:
:+::i::-::+::ey::-:,:+::i.::-::+::ey::-:
:+::i::-::+::ay::-:,:+::i.::-::+::ay::-:

%%%%%,### 母音の後

:+::a::-::+::i::-:,:+::a::-::+::i.::-:
:+::o::-::+::i::-:,:+::o::-::+::i.::-:
:+::e::-::+::i::-:,:+::e::-::+::i.::-:
:+::i::-::+::i::-:,:+::i::-::+::i.::-:
:+::u::-::+::i::-:,:+::u::-::+::i.::-:

%%%%%,### yの後

:+::y::-::+::i::-:,:+::y::-::+::i.::-:

%%%%%,## u の下に点を打つ

%%%%%,### 母音の前

:+::u::-::+::u::-:,:+::u.::-::+::u::-:

%%%%%,### v の前後

:+::v::-::+::u::-:,:+::v::-::+::u.::-:
:+::u::-::+::v::-:,:+::u.::-::+::v::-:

%%%%%,## 連結している字素記号-+を取る

:-::+::,

%%%%%,## 語頭の母音 i u oy ey ay にシュトゥメル・アレフを付ける

:+::i:,:|::i:
:+::u:,:|::u:
:+::oy:,:|::oy:
:+::ey:,:|::ey:
:+::ay:,:|::ay:

%%%%%,## 語尾の子音 kh m n f ts を尾字形にする

:kh::-:,:K::h:
:m::-:,:m::_:
:n::-:,:n::_:
:f::-:,:f::_:
:ts::-:,:ts::_:

%%%%%%%%%%%%%%%%%%%%,####################

%%%%%,# 符号/ヘブライ文字

%%%%%,## シュトゥメル・アリフ

,א
>|>,א

%%%%%,## 子音字

>b>,ב
>g>,ג
>z>,ז
>t>,ט
>d>,ד
>v>,וו
>l>,ל
>r>,ר
>h>,ה
>s>,ס
>y>,י
>p>,
>k>,
>sh>,
>kh>,
>kh>,
>kh_>,
>m>,
>m>,
>m_>,
>n>,
>n>,
>n_>,
>f>,
>f>,
>f_>,
>ts>,
>ts>,
>ts_>,

%%%%%,## ヘブライ語系の単語にのみ見られる子音字

%%%%%,### 逆変換

>v>,
>kh>,
>s>,
>s>,
>t>,

%%%%%,### 正変換

>*v>,
>*kh>,
>*s>,
>*S>,
>*t>,

%%%%%,### 母音字

>oy>,
>ey>,
>ay>,

>a>,
>o>,
>e>,
>i>,
>i>,
>i.?,
>u>,
>u>,
>u.>,

%%%%%%%%%%%%%%%%%%%%,####################

%%%%%,# 処理開始/終了フラグ
#<,#:
#:,#>
